Datetime,Water Level (m)
2022-11-06 18:00:00,0.98486924
2022-11-06 19:00:00,0.85146266
2022-11-06 20:00:00,0.5919983
2022-11-06 21:00:00,0.29246074
2022-11-06 22:00:00,-0.009875224
2022-11-06 23:00:00,-0.28927848
2022-11-07 00:00:00,-0.5285102
2022-11-07 01:00:00,-0.6230685
2022-11-07 02:00:00,-0.35178056
2022-11-07 03:00:00,-0.024138795
2022-11-07 04:00:00,0.3788949
2022-11-07 05:00:00,0.749562
2022-11-07 06:00:00,0.9221848
2022-11-07 07:00:00,0.76898897
2022-11-07 08:00:00,0.50426227
2022-11-07 09:00:00,0.20068772
2022-11-07 10:00:00,-0.10306457
2022-11-07 11:00:00,-0.38469914
2022-11-07 12:00:00,-0.6241518
2022-11-07 13:00:00,-0.7214845
2022-11-07 14:00:00,-0.4514653
2022-11-07 15:00:00,-0.11928212
2022-11-07 16:00:00,0.315844
2022-11-07 17:00:00,0.72905093
2022-11-07 18:00:00,1.0257593
2022-11-07 19:00:00,1.0567615
2022-11-07 20:00:00,0.81956625
2022-11-07 21:00:00,0.5215527
2022-11-07 22:00:00,0.20819023
2022-11-07 23:00:00,-0.09634904
2022-11-08 00:00:00,-0.37896132
2022-11-08 01:00:00,-0.59507436
2022-11-08 02:00:00,-0.53010726
2022-11-08 03:00:00,-0.23373686
2022-11-08 04:00:00,0.12161234
2022-11-08 05:00:00,0.5302955
2022-11-08 06:00:00,0.81979096
2022-11-08 07:00:00,0.8640688
2022-11-08 08:00:00,0.6290241
2022-11-08 09:00:00,0.35207397
2022-11-08 10:00:00,0.04440536
2022-11-08 11:00:00,-0.24587613
2022-11-08 12:00:00,-0.5113621
2022-11-08 13:00:00,-0.7175102
2022-11-08 14:00:00,-0.6353516
2022-11-08 15:00:00,-0.33713007
2022-11-08 16:00:00,0.043872636
2022-11-08 17:00:00,0.50849193
2022-11-08 18:00:00,0.8970401
2022-11-08 19:00:00,1.1182921
2022-11-08 20:00:00,0.9657991
2022-11-08 21:00:00,0.7018167
2022-11-08 22:00:00,0.39241344
2022-11-08 23:00:00,0.06678193
2022-11-09 00:00:00,-0.22325101
2022-11-09 01:00:00,-0.4837516
2022-11-09 02:00:00,-0.63501316
2022-11-09 03:00:00,-0.40671328
2022-11-09 04:00:00,-0.10479205
2022-11-09 05:00:00,0.28136528
2022-11-09 06:00:00,0.63323456
2022-11-09 07:00:00,0.8214669
2022-11-09 08:00:00,0.6973411
2022-11-09 09:00:00,0.44834647
2022-11-09 10:00:00,0.1534385
2022-11-09 11:00:00,-0.13960508
2022-11-09 12:00:00,-0.41327196
2022-11-09 13:00:00,-0.6478114
2022-11-09 14:00:00,-0.75627506
2022-11-09 15:00:00,-0.50107396
2022-11-09 16:00:00,-0.1798286
2022-11-09 17:00:00,0.24814253
2022-11-09 18:00:00,0.68143755
2022-11-09 19:00:00,1.0082303
2022-11-09 20:00:00,1.0783159
2022-11-09 21:00:00,0.8559536
2022-11-09 22:00:00,0.55587304
2022-11-09 23:00:00,0.24026522
2022-11-10 00:00:00,-0.06905558
2022-11-10 01:00:00,-0.3542727
2022-11-10 02:00:00,-0.5793171
2022-11-10 03:00:00,-0.57367307
2022-11-10 04:00:00,-0.28815472
2022-11-10 05:00:00,0.027854014
2022-11-10 06:00:00,0.41951528
2022-11-10 07:00:00,0.70573705
2022-11-10 08:00:00,0.736331
2022-11-10 09:00:00,0.5169458
2022-11-10 10:00:00,0.25629783
2022-11-10 11:00:00,-0.0331394
2022-11-10 12:00:00,-0.30563232
2022-11-10 13:00:00,-0.5540659
2022-11-10 14:00:00,-0.74154085
2022-11-10 15:00:00,-0.6411427
2022-11-10 16:00:00,-0.35819578
2022-11-10 17:00:00,0.017879399
2022-11-10 18:00:00,0.45388186
2022-11-10 19:00:00,0.8386718
2022-11-10 20:00:00,1.0465539
2022-11-10 21:00:00,0.9333853
2022-11-10 22:00:00,0.6637261
2022-11-10 23:00:00,0.3708126
2022-11-11 00:00:00,0.061960362
2022-11-11 01:00:00,-0.22664203
2022-11-11 02:00:00,-0.4763339
2022-11-11 03:00:00,-0.6223862
2022-11-11 04:00:00,-0.42082185
2022-11-11 05:00:00,-0.14496242
2022-11-11 06:00:00,0.20784329
2022-11-11 07:00:00,0.5224739
2022-11-11 08:00:00,0.6762875
2022-11-11 09:00:00,0.56203884
2022-11-11 10:00:00,0.33076346
2022-11-11 11:00:00,0.057617504
2022-11-11 12:00:00,-0.21031265
2022-11-11 13:00:00,-0.4595499
2022-11-11 14:00:00,-0.6701886
2022-11-11 15:00:00,-0.73733443
2022-11-11 16:00:00,-0.48888046
2022-11-11 17:00:00,-0.18178965
2022-11-11 18:00:00,0.2209051
2022-11-11 19:00:00,0.6169291
2022-11-11 20:00:00,0.9054315
2022-11-11 21:00:00,0.96330243
2022-11-11 22:00:00,0.7438546
2022-11-11 23:00:00,0.47473255
2022-11-12 00:00:00,0.17850485
